Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Force
1.0,0.0,0.0,0.0,0.195,0.474,0.286,0.81,92.5,0.0
1.0,0.0,0.0,0.0,0.196,0.474,0.287,0.809,92.6,0.0
1.0,0.0,0.0,0.0,0.196,0.474,0.287,0.809,92.6,0.0
1.0,0.0,0.0,0.0,0.196,0.474,0.287,0.809,92.6,0.0
1.0,0.0,0.0,0.0,0.196,0.474,0.287,0.809,92.6,0.0
1.0,0.0,0.0,0.0,0.044,0.543,0.674,0.5,46.6,0.0
1.0,0.0,0.0,0.0,0.044,0.543,0.674,0.5,46.6,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.043,0.568,0.669,0.477,44.0,0.0
1.0,0.0,0.0,0.0,0.062,0.582,0.646,0.49,46.2,0.0
1.0,0.0,0.0,0.0,0.152,0.555,0.528,0.624,66.7,0.0
1.0,0.0,0.0,0.0,0.152,0.555,0.528,0.624,66.7,0.0
1.0,0.0,0.0,0.0,0.152,0.555,0.528,0.624,66.7,0.0
1.0,0.0,0.0,0.0,0.152,0.555,0.528,0.624,66.7,0.0
1.0,0.0,0.0,0.0,0.174,0.508,0.357,0.764,84.4,0.0
1.0,0.0,0.0,0.0,0.174,0.508,0.357,0.764,84.4,0.0
1.0,0.0,0.0,0.0,0.174,0.508,0.357,0.764,84.4,0.0
1.0,0.0,0.0,0.0,0.174,0.508,0.357,0.764,84.4,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
1.0,0.0,0.0,0.0,0.167,0.5,0.342,0.778,85.3,0.0
