Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Force
1.0,0.0,0.0,0.0,0.281,0.155,-0.745,-0.584,84.4,0.0
1.0,0.0,0.0,0.0,0.281,0.155,-0.745,-0.584,84.4,0.0
1.0,0.0,0.0,0.0,0.281,0.155,-0.745,-0.584,84.4,0.0
1.0,0.0,0.0,0.0,0.281,0.155,-0.745,-0.584,84.4,0.0
1.0,0.0,0.0,0.0,0.283,0.155,-0.745,-0.584,84.3,0.0
1.0,0.0,0.0,0.0,0.283,0.155,-0.745,-0.584,84.3,0.0
1.0,0.0,0.0,0.0,0.283,0.155,-0.745,-0.584,84.3,0.0
1.0,0.0,0.0,0.0,0.283,0.155,-0.745,-0.584,84.3,0.0
1.0,0.0,0.0,0.0,0.284,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.284,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.284,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.284,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.284,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.156,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.156,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.156,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.156,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.284,0.156,-0.744,-0.585,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.155,-0.744,-0.584,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.155,-0.744,-0.583,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.155,-0.744,-0.583,84.2,0.0
1.0,0.0,0.0,0.0,0.285,0.155,-0.744,-0.583,84.2,0.0
1.0,0.0,0.0,0.0,0.277,0.146,-0.733,-0.604,83.0,0.0
1.0,0.0,0.0,0.0,0.277,0.146,-0.733,-0.604,83.0,0.0
1.0,0.0,0.0,0.0,0.277,0.146,-0.733,-0.604,83.0,0.0
1.0,0.0,0.0,0.0,0.277,0.146,-0.733,-0.604,83.0,0.0
1.0,0.0,0.0,0.0,0.224,-0.124,-0.345,-0.903,60.7,0.0
1.0,0.0,0.0,0.0,0.224,-0.124,-0.345,-0.903,60.7,0.0
1.0,0.0,0.0,0.0,0.224,-0.124,-0.345,-0.903,60.7,0.0
1.0,0.0,0.0,0.0,0.224,-0.124,-0.345,-0.903,60.7,0.0
1.0,0.0,0.0,0.0,0.163,-0.225,-0.16,-0.947,67.6,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.127,-0.229,-0.148,-0.954,71.9,0.0
1.0,0.0,0.0,0.0,0.12,-0.228,-0.148,-0.955,72.8,0.0
1.0,0.0,0.0,0.0,0.114,-0.225,-0.151,-0.956,73.4,0.0
1.0,0.0,0.0,0.0,0.117,-0.204,-0.178,-0.955,72.8,0.0
1.0,0.0,0.0,0.0,0.117,-0.204,-0.178,-0.955,72.8,0.0
1.0,0.0,0.0,0.0,0.117,-0.204,-0.178,-0.955,72.8,0.0
1.0,0.0,0.0,0.0,0.117,-0.204,-0.178,-0.955,72.8,0.0
1.0,0.0,0.0,0.0,0.154,-0.165,-0.278,-0.934,67.7,0.0
1.0,0.0,0.0,0.0,0.178,-0.135,-0.327,-0.918,65.4,0.0
1.0,0.0,0.0,0.0,0.178,-0.135,-0.327,-0.918,65.4,0.0
1.0,0.0,0.0,0.0,0.178,-0.135,-0.327,-0.918,65.4,0.0
1.0,0.0,0.0,0.0,0.203,-0.059,-0.422,-0.881,66.0,0.0
1.0,0.0,0.0,0.0,0.216,0.014,-0.512,-0.831,69.8,0.0
1.0,0.0,0.0,0.0,0.216,0.014,-0.512,-0.831,69.8,0.0
1.0,0.0,0.0,0.0,0.223,0.067,-0.587,-0.776,74.5,0.0
1.0,0.0,0.0,0.0,0.223,0.067,-0.587,-0.776,74.5,0.0
1.0,0.0,0.0,0.0,0.223,0.067,-0.587,-0.776,74.5,0.0
1.0,0.0,0.0,0.0,0.229,0.098,-0.664,-0.705,78.9,0.0
1.0,0.0,0.0,0.0,0.229,0.098,-0.664,-0.705,78.9,0.0
1.0,0.0,0.0,0.0,0.229,0.098,-0.664,-0.705,78.9,0.0
1.0,0.0,0.0,0.0,0.229,0.098,-0.664,-0.705,78.9,0.0
1.0,0.0,0.0,0.0,0.233,0.13,-0.73,-0.629,84.1,0.0
1.0,0.0,0.0,0.0,0.233,0.13,-0.73,-0.629,84.1,0.0
1.0,0.0,0.0,0.0,0.233,0.13,-0.73,-0.629,84.1,0.0
1.0,0.0,0.0,0.0,0.228,0.164,-0.771,-0.572,89.6,0.0
1.0,0.0,0.0,0.0,0.228,0.164,-0.771,-0.572,89.6,0.0
1.0,0.0,0.0,0.0,0.228,0.164,-0.771,-0.572,89.6,0.0
1.0,0.0,0.0,0.0,0.228,0.164,-0.771,-0.572,89.6,0.0
1.0,0.0,0.0,0.0,0.228,0.164,-0.771,-0.572,89.6,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.131,0.349,-0.896,-0.243,124.1,0.0
1.0,0.0,0.0,0.0,0.068,0.429,-0.88,-0.192,136.8,0.0
1.0,0.0,0.0,0.0,0.067,0.429,-0.88,-0.191,136.8,0.0
1.0,0.0,0.0,0.0,0.067,0.429,-0.88,-0.191,136.8,0.0
1.0,0.0,0.0,0.0,0.067,0.429,-0.88,-0.191,136.8,0.0
1.0,0.0,0.0,0.0,0.067,0.429,-0.88,-0.191,136.8,0.0
1.0,0.0,0.0,0.0,0.018,0.444,-0.877,-0.183,140.6,0.0
1.0,0.0,0.0,0.0,0.018,0.444,-0.877,-0.183,140.6,0.0
1.0,0.0,0.0,0.0,0.174,0.041,-0.56,-0.809,76.4,0.0
1.0,0.0,0.0,0.0,0.186,0.027,-0.521,-0.833,73.7,0.0
1.0,0.0,0.0,0.0,0.186,0.027,-0.521,-0.833,73.7,0.0
1.0,0.0,0.0,0.0,0.197,0.003,-0.478,-0.856,70.5,0.0
1.0,0.0,0.0,0.0,0.197,0.003,-0.478,-0.856,70.5,0.0
1.0,0.0,0.0,0.0,0.197,0.003,-0.478,-0.856,70.5,0.0
1.0,0.0,0.0,0.0,0.208,-0.025,-0.437,-0.875,67.3,0.0
1.0,0.0,0.0,0.0,0.208,-0.025,-0.437,-0.875,67.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.213,-0.05,-0.406,-0.887,65.3,0.0
1.0,0.0,0.0,0.0,0.216,-0.035,-0.403,-0.889,65.7,0.0
1.0,0.0,0.0,0.0,0.216,-0.035,-0.403,-0.889,65.7,0.0
1.0,0.0,0.0,0.0,0.216,-0.035,-0.403,-0.889,65.7,0.0
1.0,0.0,0.0,0.0,0.216,-0.035,-0.403,-0.889,65.7,0.0
1.0,0.0,0.0,0.0,0.216,-0.035,-0.403,-0.889,65.7,0.0
1.0,0.0,0.0,0.0,0.217,-0.03,-0.407,-0.887,65.9,0.0
1.0,0.0,0.0,0.0,0.217,-0.03,-0.407,-0.887,65.9,0.0
1.0,0.0,0.0,0.0,0.28,0.252,-0.728,-0.573,92.6,0.0
1.0,0.0,0.0,0.0,0.28,0.252,-0.728,-0.573,92.6,0.0
1.0,0.0,0.0,0.0,0.28,0.252,-0.728,-0.573,92.6,0.0
1.0,0.0,0.0,0.0,0.273,0.278,-0.77,-0.506,98.7,0.0
1.0,0.0,0.0,0.0,0.273,0.278,-0.77,-0.506,98.7,0.0
1.0,0.0,0.0,0.0,0.273,0.278,-0.77,-0.506,98.7,0.0
1.0,0.0,0.0,0.0,0.273,0.278,-0.77,-0.506,98.7,0.0
