Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Force
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0
