Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Timestamp
0.069323835191406,-0.8877458393523537,-0.0267234190206764,-0.3410716357071408,0.299811666940724,0.5393233547634725,0.6457118897777607,0.4710105863672811,107.68986228275035,2025-05-11 17:48:42
0.0644283337914739,-0.968781318453737,-0.0693841266070306,-0.3796937231410753,0.3730084712024438,0.5755635093796849,0.6289553561392384,0.4678108272760019,106.97924147448748,2025-05-11 17:48:42
0.0848313886847032,-0.8650236540349932,-0.1370360224142743,-0.3862995211065449,0.3130828112803158,0.4891849206633018,0.6986467470164331,0.4142469041137722,106.94679623238756,2025-05-11 17:48:42
-0.0158109988093602,-0.922714163822668,-0.0726112518945702,-0.3746041747913461,0.3453708761137024,0.4882493186541757,0.6034596737920171,0.4369796420067038,106.40581740559512,2025-05-11 17:48:42
0.0465130773791528,-0.9002767610749224,-0.1027835986762911,-0.3844317581262336,0.3474331991039657,0.5413110767087532,0.5764327456699692,0.4844960222377973,106.7224343998829,2025-05-11 17:48:42
0.1375255260058552,-0.925018724724446,-0.116850577713663,-0.3949681331322249,0.3098246748311736,0.5510913477113141,0.5851615159569152,0.4521013552707189,107.50172513936116,2025-05-11 17:48:42
0.1205457274484381,-0.943387276286613,-0.1314251283868573,-0.3209382659499787,0.3842482110309323,0.4495124322044671,0.5961156742672308,0.4816620109714208,106.42026492418802,2025-05-11 17:48:42
0.0877307596169062,-0.8779634768528838,-0.0048937064404652,-0.4012663625056812,0.3449925490608119,0.5202842735686879,0.6518990529368871,0.4363418672854904,107.45349988147308,2025-05-11 17:48:42
0.1074607005356348,-0.8744712375784183,-0.1104903284281794,-0.3466157475622713,0.3373654219455146,0.4985242184246445,0.6244507774493113,0.4591264963226473,105.75253465316726,2025-05-11 17:48:42
-0.0062075520353289,-0.8919858918383418,-0.1670839440542438,-0.3726033848398665,0.3827029846808149,0.4720149145056616,0.6408398686197944,0.4572252404795688,107.9063872316286,2025-05-11 17:48:42
0.0427504430635362,-0.9125351962166732,-0.0454493104505959,-0.3382794850988828,0.5012748709295041,0.5282160737681209,0.6261211786041435,0.4598467728723175,107.30759103995206,2025-05-11 17:48:42
0.0086138154950011,-0.8654601255705996,-0.0563755190455166,-0.3671814782925775,0.341830409018602,0.61037203865799,0.6800756377322011,0.4124349285997874,107.69477715012174,2025-05-11 17:48:42
0.0246042208486067,-0.9549173992978832,-0.0586681353326497,-0.4271882965355013,0.3035593743495609,0.4881660973346334,0.5794019767104557,0.4798182562550144,107.0195997481484,2025-05-11 17:48:42
0.0660682838355957,-0.9030079667075432,-0.0420299080716009,-0.368724097151775,0.3945765146567103,0.4809252290470936,0.6289672863864761,0.4854009284510136,106.651722225178,2025-05-11 17:48:42
0.0146806092127057,-0.971285252757073,-0.0936436450121431,-0.3680272710599178,0.2704758502749119,0.4969081586354921,0.5898106942344327,0.4187564010055853,106.57640088690223,2025-05-11 17:48:42
0.0617077038984918,-0.909440398340095,-0.0553077381733824,-0.3910330492151936,0.3696547694419735,0.4759956707579991,0.6550555982834766,0.5299052357999904,107.23079769177478,2025-05-11 17:48:42
0.0299845443317612,-0.9211015735492514,-0.025206145380284,-0.3432612044600878,0.34307926138204,0.4821809016715526,0.605128209547705,0.4579292479519139,107.88547392564074,2025-05-11 17:48:42
0.0550247285083496,-0.8985697793651857,-0.0948971478659521,-0.3803920096490616,0.3982830729650596,0.5105906908589649,0.7554626651709491,0.4911467353408176,107.77923284824972,2025-05-11 17:48:42
0.051981203771656,-0.8401744563191025,-0.1677290585422066,-0.3239851687833508,0.3480358915316003,0.493636575205467,0.6821632785128732,0.465711961705059,109.57802116250342,2025-05-11 17:48:42
0.0686678112977724,-0.8965615088776239,-0.041160550513845,-0.368644508123866,0.2896756097513333,0.5105035286230404,0.6220702451841967,0.5227089757185125,110.71111288413422,2025-05-11 17:48:42
0.1264074986445001,-0.9530576149087931,-0.10001442630516,-0.3858497605854343,0.3620861841410296,0.453516698666353,0.7154680536298994,0.534952001296402,110.19631332759708,2025-05-11 17:48:42
0.0621217887692505,-0.96825395910594,-0.0188919504468661,-0.3025443429706022,0.3086158654998835,0.5301656158575363,0.6553099632075912,0.5196131077051542,112.7895951757118,2025-05-11 17:48:42
0.1039871469332177,-0.907335931854669,-0.0986807007818248,-0.28991486791706,0.2715127945803093,0.5623697629083179,0.6753796207050395,0.4442027742283448,116.26059524733868,2025-05-11 17:48:42
