Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Force
1.0,0.0,0.0,0.0,0.991,0.114,0.049,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.991,0.114,0.049,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.991,0.114,0.049,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.991,0.114,0.049,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.991,0.114,0.049,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.131,0.046,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.13,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.132,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.132,0.045,-0.046,84.1,0.0
1.0,0.0,0.0,0.0,0.989,0.134,0.044,-0.045,84.2,0.0
1.0,0.0,0.0,0.0,0.989,0.134,0.044,-0.045,84.2,0.0
1.0,0.0,0.0,0.0,0.989,0.134,0.044,-0.045,84.2,0.0
1.0,0.0,0.0,0.0,0.989,0.135,0.043,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.989,0.135,0.043,-0.047,84.0,0.0
1.0,0.0,0.0,0.0,0.982,0.178,0.036,-0.041,84.6,0.0
1.0,0.0,0.0,0.0,0.982,0.178,0.036,-0.041,84.6,0.0
1.0,0.0,0.0,0.0,0.982,0.178,0.036,-0.041,84.6,0.0
1.0,0.0,0.0,0.0,0.923,0.377,0.052,0.062,94.3,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.85,0.482,0.09,0.191,103.8,0.0
1.0,0.0,0.0,0.0,0.794,0.548,0.125,0.232,103.3,0.0
1.0,0.0,0.0,0.0,0.794,0.548,0.125,0.232,103.3,0.0
1.0,0.0,0.0,0.0,0.794,0.548,0.125,0.232,103.3,0.0
1.0,0.0,0.0,0.0,0.794,0.548,0.125,0.232,103.3,0.0
1.0,0.0,0.0,0.0,0.748,0.572,0.187,0.281,102.0,0.0
1.0,0.0,0.0,0.0,0.789,0.526,0.193,0.251,101.1,0.0
1.0,0.0,0.0,0.0,0.789,0.526,0.193,0.251,101.1,0.0
1.0,0.0,0.0,0.0,0.789,0.526,0.193,0.251,101.1,0.0
1.0,0.0,0.0,0.0,0.804,0.505,0.197,0.245,101.3,0.0
1.0,0.0,0.0,0.0,0.828,0.466,0.2,0.239,102.1,0.0
1.0,0.0,0.0,0.0,0.828,0.466,0.2,0.239,102.1,0.0
1.0,0.0,0.0,0.0,0.86,0.414,0.196,0.224,102.8,0.0
1.0,0.0,0.0,0.0,0.86,0.414,0.196,0.224,102.8,0.0
1.0,0.0,0.0,0.0,0.878,0.381,0.195,0.215,103.3,0.0
1.0,0.0,0.0,0.0,0.893,0.357,0.19,0.199,102.7,0.0
1.0,0.0,0.0,0.0,0.911,0.323,0.184,0.181,102.2,0.0
1.0,0.0,0.0,0.0,0.911,0.323,0.184,0.181,102.2,0.0
1.0,0.0,0.0,0.0,0.954,0.237,0.151,0.106,97.5,0.0
1.0,0.0,0.0,0.0,0.954,0.237,0.151,0.106,97.5,0.0
1.0,0.0,0.0,0.0,0.954,0.237,0.151,0.106,97.5,0.0
1.0,0.0,0.0,0.0,0.954,0.237,0.151,0.106,97.5,0.0
